Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY44002304,,-0.045,-0.0287501215934753,-0.00624954327940941,
Firmware Version:,06.20.0000,,-0.04,-1.19209289550781E-07,-0.0374995395541191,
Start Time:,2020-10-22 18:16:12.667,,-0.035,0.0287498831748962,-0.00624954327940941,
,,,-0.03,-1.19209289550781E-07,-0.00624954327940941,
Analog Sample Count:,1000,,-0.025,-0.0287501215934753,-0.00624954327940941,
Function Sample Count:,0,,-0.02,-1.19209289550781E-07,0.0250004529953003,
Waveform Memory Sample Count:,0,,-0.015,-1.19209289550781E-07,-0.00624954327940941,
Digital Sample Count:,0,,-0.01,-1.19209289550781E-07,0.0250004529953003,
,,,-0.005,-1.19209289550781E-07,0.0250004529953003,
Setup Text Information:,,,0,1.95500004291534,2.02500021457672,
ANALOG,,,0.005,2.01250004768372,1.99375021830201,
Channel 1,,,0.01,1.92625004053116,1.99375021830201,
Scale,920 mV/,,0.015,1.92625004053116,1.9625002220273,
Pos,1.84 V,,0.02,1.89750003814697,1.90000022947788,
Coup,,,0.025,1.86875003576279,1.90000022947788,
BW,Off,,0.03,1.8400000333786,1.83750023692846,
Inv,Off,,0.035,1.81125003099442,1.80625024065375,
Imp,1M Ohm,,0.04,-0.0287501215934753,1.77500024437904,
Trace Label,1,,0.045,-0.0287501215934753,1.74375024810433,
Probe,10,,0.05,-0.0575001239776611,1.74375024810433,
Skew,0 s,,0.055,-0.0287501215934753,1.74375024810433,
,,,0.06,-0.0287501215934753,1.71250025182962,
Channel 4,,,0.065,-0.0287501215934753,1.68125025555491,
Scale,1 V/,,0.07,-0.0287501215934753,1.6500002592802,
Pos,3.025 V,,0.075,-0.0287501215934753,1.6500002592802,
Coup,,,0.08,-0.0287501215934753,1.6500002592802,
BW,Off,,0.085,-0.0287501215934753,1.58750026673079,
Inv,Off,,0.09,-0.0287501215934753,1.6187502630055,
Imp,1M Ohm,,0.095,-0.0575001239776611,1.55625027045608,
Trace Label,4,,0.1,-0.0287501215934753,1.58750026673079,
