Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY44002304,,-0.045,0.0287498831748962,0.275000423192978,
Firmware Version:,06.20.0000,,-0.04,-1.19209289550781E-07,0.275000423192978,
Start Time:,2020-10-21 22:55:14.153,,-0.035,-1.19209289550781E-07,0.275000423192978,
,,,-0.03,-0.0287501215934753,0.306250419467688,
Analog Sample Count:,1000,,-0.025,-1.19209289550781E-07,0.275000423192978,
Function Sample Count:,0,,-0.02,0.0287498831748962,0.306250419467688,
Waveform Memory Sample Count:,0,,-0.015,-1.19209289550781E-07,0.243750426918268,
Digital Sample Count:,0,,-0.01,-1.19209289550781E-07,0.275000423192978,
,,,-0.005,-1.19209289550781E-07,0.243750426918268,
Setup Text Information:,,,0,2.09875005483627,2.02500021457672,
ANALOG,,,0.005,2.01250004768372,2.08750020712614,
Channel 1,,,0.01,2.01250004768372,2.02500021457672,
Scale,920 mV/,,0.015,2.01250004768372,2.02500021457672,
Pos,1.84 V,,0.02,1.98375004529953,2.02500021457672,
Coup,,,0.025,1.98375004529953,1.9625002220273,
BW,Off,,0.03,1.95500004291534,1.9625002220273,
Inv,Off,,0.035,1.95500004291534,1.93125022575259,
Imp,1M Ohm,,0.04,1.92625004053116,1.93125022575259,
Trace Label,1,,0.045,1.95500004291534,1.93125022575259,
Probe,10,,0.05,1.92625004053116,1.93125022575259,
Skew,0 s,,0.055,1.89750003814697,1.93125022575259,
,,,0.06,1.89750003814697,1.90000022947788,
Channel 4,,,0.065,1.92625004053116,1.90000022947788,
Scale,1 V/,,0.07,1.86875003576279,1.86875023320317,
Pos,3.025 V,,0.075,1.89750003814697,1.90000022947788,
Coup,,,0.08,1.92625004053116,1.90000022947788,
BW,Off,,0.085,1.92625004053116,1.90000022947788,
Inv,Off,,0.09,1.92625004053116,1.93125022575259,
Imp,1M Ohm,,0.095,1.95500004291534,1.9625002220273,
Trace Label,4,,0.1,1.92625004053116,1.9625002220273,
Probe,10,,0.105,1.98375004529953,1.93125022575259,
Skew,0 s,,0.11,1.98375004529953,1.9625002220273,
,,,0.115,1.95500004291534,1.99375021830201,
MATH,,,0.12,1.95500004291534,1.9625002220273,
DIGITAL,,,0.125,2.01250004768372,1.99375021830201,
TRIGGER,,,0.13,1.98375004529953,1.99375021830201,
Sweep Mode,NORM,,0.135,2.01250004768372,2.02500021457672,
Coup,DC,,0.14,2.01250004768372,1.99375021830201,
Noise Rej,Off,,0.145,2.01250004768372,1.99375021830201,
HF Rej,Off,,0.15,2.01250004768372,1.99375021830201,
Holdoff,60.0 ns,,0.155,2.01250004768372,2.02500021457672,
Mode,EDGE,,0.16,2.01250004768372,2.02500021457672,
Source,CHAN1,,0.165,2.01250004768372,1.99375021830201,
Slope,POS,,0.17,2.01250004768372,2.05625021085143,
Level,920 mV V,,0.175,2.0412500500679,2.02500021457672,
,,,0.18,2.0412500500679,2.02500021457672,
HORIZONTAL,,,0.185,2.01250004768372,1.99375021830201,
Mode,MAIN,,0.19,2.01250004768372,2.02500021457672,
Ref,CENT,,0.195,2.0412500500679,2.02500021457672,
Main Scale,500 ms/,,0.2,2.0412500500679,2.05625021085143,
Main Delay,2.455 s,,0.205,2.0412500500679,2.05625021085143,
,,,0.21,2.0412500500679,1.99375021830201,
ACQUISITION,,,0.215,2.0412500500679,2.02500021457672,
Mode,NORM,,0.22,2.01250004768372,2.02500021457672,
RealTime,On,,0.225,2.0412500500679,1.99375021830201,
Vectors,On,,0.23,2.01250004768372,1.99375021830201,
