Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY44002304,,-0.045,-0.0287501215934753,0.337500415742397,
Firmware Version:,06.20.0000,,-0.04,-0.0575001239776611,0.337500415742397,
Start Time:,2020-10-21 21:41:15.539,,-0.035,-0.0287501215934753,0.337500415742397,
,,,-0.03,-0.0287501215934753,0.368750412017107,
Analog Sample Count:,1000,,-0.025,-1.19209289550781E-07,0.368750412017107,
Function Sample Count:,0,,-0.02,-1.19209289550781E-07,0.306250419467688,
Waveform Memory Sample Count:,0,,-0.015,-1.19209289550781E-07,0.337500415742397,
Digital Sample Count:,0,,-0.01,-1.19209289550781E-07,0.337500415742397,
,,,-0.005,-1.19209289550781E-07,0.337500415742397,
Setup Text Information:,,,0,2.12750005722046,2.08750020712614,
ANALOG,,,0.005,2.15625005960464,2.15000019967556,
Channel 1,,,0.01,2.15625005960464,2.15000019967556,
Scale,920 mV/,,0.015,2.18500006198883,2.21250019222498,
Pos,1.84 V,,0.02,2.18500006198883,2.21250019222498,
Coup,,,0.025,2.2425000667572,2.18125019595027,
BW,Off,,0.03,2.2425000667572,2.24375018849969,
Inv,Off,,0.035,2.2425000667572,2.24375018849969,
Imp,1M Ohm,,0.04,2.2425000667572,2.21250019222498,
Trace Label,1,,0.045,2.21375006437302,2.21250019222498,
Probe,10,,0.05,2.21375006437302,2.21250019222498,
Skew,0 s,,0.055,2.21375006437302,2.24375018849969,
,,,0.06,2.21375006437302,2.18125019595027,
Channel 4,,,0.065,2.21375006437302,2.21250019222498,
Scale,1 V/,,0.07,2.18500006198883,2.21250019222498,
Pos,3.025 V,,0.075,2.2425000667572,2.21250019222498,
Coup,,,0.08,2.18500006198883,2.21250019222498,
BW,Off,,0.085,2.18500006198883,2.15000019967556,
Inv,Off,,0.09,2.21375006437302,2.2750001847744,
Imp,1M Ohm,,0.095,2.18500006198883,2.18125019595027,
Trace Label,4,,0.1,2.18500006198883,2.18125019595027,
Probe,10,,0.105,2.18500006198883,2.18125019595027,
Skew,0 s,,0.11,2.21375006437302,2.18125019595027,
,,,0.115,2.21375006437302,2.18125019595027,
MATH,,,0.12,2.21375006437302,2.24375018849969,
DIGITAL,,,0.125,2.18500006198883,2.18125019595027,
TRIGGER,,,0.13,2.15625005960464,2.21250019222498,
Sweep Mode,NORM,,0.135,2.21375006437302,2.18125019595027,
Coup,DC,,0.14,2.18500006198883,2.18125019595027,
Noise Rej,Off,,0.145,2.18500006198883,2.21250019222498,
HF Rej,Off,,0.15,2.21375006437302,2.21250019222498,
Holdoff,60.0 ns,,0.155,2.21375006437302,2.24375018849969,
Mode,EDGE,,0.16,2.18500006198883,2.21250019222498,
Source,CHAN1,,0.165,2.18500006198883,2.21250019222498,
Slope,POS,,0.17,2.18500006198883,2.21250019222498,
Level,920 mV V,,0.175,2.21375006437302,2.18125019595027,
,,,0.18,2.21375006437302,2.18125019595027,
HORIZONTAL,,,0.185,2.18500006198883,2.21250019222498,
Mode,MAIN,,0.19,2.21375006437302,2.21250019222498,
Ref,CENT,,0.195,2.18500006198883,2.18125019595027,
Main Scale,500 ms/,,0.2,2.21375006437302,2.18125019595027,
Main Delay,2.455 s,,0.205,2.21375006437302,2.18125019595027,
,,,0.21,2.21375006437302,2.21250019222498,
ACQUISITION,,,0.215,2.18500006198883,2.21250019222498,
Mode,NORM,,0.22,2.21375006437302,2.18125019595027,
RealTime,On,,0.225,2.21375006437302,2.21250019222498,
Vectors,On,,0.23,2.21375006437302,2.21250019222498,
Persistence,Off,,0.235,2.18500006198883,2.21250019222498,
,,,0.24,2.21375006437302,2.21250019222498,
,,,0.245,2.21375006437302,2.21250019222498,
,,,0.25,2.21375006437302,2.15000019967556,
,,,0.255,2.21375006437302,2.21250019222498,
,,,0.26,2.18500006198883,2.21250019222498,
,,,0.265,2.21375006437302,2.21250019222498,
,,,0.27,2.18500006198883,2.21250019222498,
,,,0.275,2.21375006437302,2.18125019595027,
,,,0.28,2.18500006198883,2.21250019222498,
,,,0.285,2.18500006198883,2.18125019595027,
,,,0.29,2.18500006198883,2.18125019595027,
,,,0.295,2.21375006437302,2.24375018849969,
,,,0.3,2.21375006437302,2.21250019222498,
,,,0.305,2.18500006198883,2.21250019222498,
,,,0.31,2.2425000667572,2.21250019222498,
,,,0.315,2.18500006198883,2.21250019222498,
,,,0.32,2.21375006437302,2.21250019222498,
,,,0.325,2.18500006198883,2.18125019595027,
,,,0.33,2.21375006437302,2.18125019595027,
,,,0.335,2.21375006437302,2.18125019595027,
,,,0.34,2.18500006198883,2.18125019595027,
,,,0.345,2.21375006437302,2.18125019595027,
,,,0.35,2.18500006198883,2.18125019595027,
,,,0.355,2.21375006437302,2.21250019222498,
,,,0.36,2.18500006198883,2.24375018849969,
,,,0.365,2.21375006437302,2.21250019222498,
,,,0.37,2.21375006437302,2.18125019595027,
,,,0.375,2.18500006198883,2.21250019222498,
,,,0.38,2.21375006437302,2.18125019595027,
,,,0.385,2.21375006437302,2.21250019222498,
,,,0.39,2.18500006198883,2.18125019595027,
,,,0.395,2.18500006198883,2.18125019595027,
,,,0.4,2.18500006198883,2.21250019222498,
,,,0.405,2.18500006198883,2.18125019595027,
,,,0.41,2.18500006198883,2.18125019595027,
,,,0.415,2.18500006198883,2.21250019222498,
,,,0.42,2.2425000667572,2.21250019222498,
,,,0.425,2.21375006437302,2.21250019222498,
,,,0.43,2.2425000667572,2.21250019222498,
,,,0.435,2.21375006437302,2.21250019222498,
,,,0.44,2.18500006198883,2.18125019595027,
,,,0.445,2.21375006437302,2.21250019222498,
,,,0.45,2.18500006198883,2.21250019222498,
,,,0.455,2.18500006198883,2.21250019222498,
,,,0.46,2.21375006437302,2.21250019222498,
,,,0.465,2.2425000667572,2.21250019222498,
,,,0.47,2.15625005960464,2.21250019222498,
,,,0.475,2.18500006198883,2.21250019222498,
,,,0.48,2.18500006198883,2.21250019222498,
,,,0.485,2.21375006437302,2.18125019595027,
,,,0.49,2.2425000667572,2.21250019222498,
,,,0.495,2.18500006198883,2.18125019595027,
,,,0.5,2.21375006437302,2.24375018849969,
,,,0.505,2.21375006437302,2.21250019222498,
,,,0.51,2.21375006437302,2.21250019222498,
,,,0.515,2.18500006198883,2.21250019222498,
,,,0.52,2.2425000667572,2.21250019222498,
,,,0.525,2.21375006437302,2.21250019222498,
,,,0.53,2.18500006198883,2.21250019222498,
,,,0.535,2.21375006437302,2.21250019222498,
,,,0.54,2.18500006198883,2.21250019222498,
,,,0.545,2.21375006437302,2.21250019222498,
,,,0.55,2.21375006437302,2.21250019222498,
,,,0.555,2.18500006198883,2.18125019595027,
,,,0.56,2.2425000667572,2.21250019222498,
,,,0.565,2.18500006198883,2.24375018849969,
,,,0.57,2.21375006437302,2.18125019595027,
,,,0.575,2.18500006198883,2.21250019222498,
