Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY44002304,,-0.045,-0.0575001239776611,-0.00624954327940941,
Firmware Version:,06.20.0000,,-0.04,-0.0287501215934753,-0.00624954327940941,
Start Time:,2020-10-22 18:05:35.485,,-0.035,-1.19209289550781E-07,-0.00624954327940941,
,,,-0.03,-0.0287501215934753,-0.0374995395541191,
Analog Sample Count:,1000,,-0.025,-0.0287501215934753,-0.00624954327940941,
Function Sample Count:,0,,-0.02,-0.0287501215934753,-0.0374995395541191,
Waveform Memory Sample Count:,0,,-0.015,-1.19209289550781E-07,-0.00624954327940941,
Digital Sample Count:,0,,-0.01,0.0287498831748962,-0.00624954327940941,
,,,-0.005,-0.0287501215934753,-0.00624954327940941,
Setup Text Information:,,,0,1.89750003814697,2.02500021457672,
ANALOG,,,0.005,1.95500004291534,1.99375021830201,
Channel 1,,,0.01,1.95500004291534,1.93125022575259,
Scale,920 mV/,,0.015,1.92625004053116,1.93125022575259,
Pos,1.84 V,,0.02,1.89750003814697,1.90000022947788,
Coup,,,0.025,1.89750003814697,1.86875023320317,
BW,Off,,0.03,1.81125003099442,1.90000022947788,
Inv,Off,,0.035,-0.0287501215934753,1.80625024065375,
Imp,1M Ohm,,0.04,-0.0287501215934753,1.74375024810433,
Trace Label,1,,0.045,-0.0287501215934753,1.74375024810433,
Probe,10,,0.05,-0.0287501215934753,1.71250025182962,
Skew,0 s,,0.055,-0.0287501215934753,1.71250025182962,
,,,0.06,-0.0287501215934753,1.68125025555491,
Channel 4,,,0.065,-1.19209289550781E-07,1.68125025555491,
Scale,1 V/,,0.07,-0.0575001239776611,1.6500002592802,
Pos,3.025 V,,0.075,-0.0287501215934753,1.6187502630055,
Coup,,,0.08,-0.0575001239776611,1.6187502630055,
BW,Off,,0.085,-0.0287501215934753,1.6187502630055,
Inv,Off,,0.09,-0.0287501215934753,1.58750026673079,
Imp,1M Ohm,,0.095,-0.0287501215934753,1.58750026673079,
Trace Label,4,,0.1,-0.0287501215934753,1.52500027418137,
Probe,10,,0.105,-1.19209289550781E-07,1.58750026673079,
