Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY44002304,,-0.034,-1.19209289550781E-07,0.0250004529953003,
Firmware Version:,06.20.0000,,-0.033,-1.19209289550781E-07,-0.00624954327940941,
Start Time:,2020-10-21 17:37:21.036,,-0.032,-1.19209289550781E-07,0.0250004529953003,
,,,-0.031,0.0287498831748962,0.0250004529953003,
Analog Sample Count:,1000,,-0.03,0.0287498831748962,0.0250004529953003,
Function Sample Count:,0,,-0.029,-1.19209289550781E-07,-0.00624954327940941,
Waveform Memory Sample Count:,0,,-0.028,-1.19209289550781E-07,0.0250004529953003,
Digital Sample Count:,0,,-0.027,-1.19209289550781E-07,-0.00624954327940941,
,,,-0.026,-1.19209289550781E-07,-0.00624954327940941,
Setup Text Information:,,,-0.025,-1.19209289550781E-07,0.0250004529953003,
ANALOG,,,-0.024,0.0287498831748962,0.0250004529953003,
Channel 1,,,-0.023,0.0287498831748962,-0.00624954327940941,
Scale,920 mV/,,-0.022,0.0287498831748962,-0.00624954327940941,
Pos,1.84 V,,-0.021,-1.19209289550781E-07,0.0250004529953003,
Coup,,,-0.02,-1.19209289550781E-07,0.05625044927001,
BW,Off,,-0.019,0.0287498831748962,-0.00624954327940941,
Inv,Off,,-0.018,-1.19209289550781E-07,-0.00624954327940941,
Imp,1M Ohm,,-0.017,-0.0287501215934753,0.0250004529953003,
Trace Label,1,,-0.016,-1.19209289550781E-07,-0.0374995395541191,
Probe,10,,-0.015,-1.19209289550781E-07,-0.00624954327940941,
Skew,0 s,,-0.014,-1.19209289550781E-07,0.05625044927001,
,,,-0.013,0.0287498831748962,-0.00624954327940941,
Channel 4,,,-0.012,-1.19209289550781E-07,0.0250004529953003,
Scale,1 V/,,-0.011,-1.19209289550781E-07,-0.00624954327940941,
Pos,3.025 V,,-0.01,0.0287498831748962,-0.0374995395541191,
Coup,,,-0.009,0.0287498831748962,0.0250004529953003,
BW,Off,,-0.008,-1.19209289550781E-07,-0.0374995395541191,
Inv,Off,,-0.007,0.0287498831748962,-0.00624954327940941,
Imp,1M Ohm,,-0.006,-1.19209289550781E-07,-0.0374995395541191,
Trace Label,4,,-0.005,0.0287498831748962,-0.00624954327940941,
Probe,10,,-0.004,0.0287498831748962,-0.00624954327940941,
Skew,0 s,,-0.003,0.0287498831748962,0.0250004529953003,
,,,-0.002,-1.19209289550781E-07,0.0250004529953003,
MATH,,,-0.001,-1.19209289550781E-07,1.74375024810433,
DIGITAL,,,0,2.07000005245209,2.02500021457672,
TRIGGER,,,0.001,2.0412500500679,2.02500021457672,
Sweep Mode,NORM,,0.002,2.01250004768372,2.05625021085143,
Coup,DC,,0.003,2.01250004768372,1.9625002220273,
Noise Rej,Off,,0.004,1.98375004529953,2.02500021457672,
HF Rej,Off,,0.005,1.98375004529953,1.99375021830201,
Holdoff,60.0 ns,,0.006,2.01250004768372,1.9625002220273,
Mode,EDGE,,0.007,1.98375004529953,1.9625002220273,
Source,CHAN1,,0.008,1.98375004529953,1.99375021830201,
Slope,POS,,0.009,1.98375004529953,1.9625002220273,
Level,920 mV V,,0.01,1.95500004291534,1.9625002220273,
,,,0.011,1.92625004053116,1.99375021830201,
HORIZONTAL,,,0.012,1.92625004053116,1.9625002220273,
Mode,MAIN,,0.013,1.95500004291534,1.93125022575259,
Ref,CENT,,0.014,1.95500004291534,1.93125022575259,
Main Scale,100 ms/,,0.015,1.92625004053116,1.9625002220273,
Main Delay,466 ms,,0.016,1.95500004291534,1.93125022575259,
,,,0.017,1.92625004053116,1.90000022947788,
ACQUISITION,,,0.018,1.89750003814697,1.90000022947788,
Mode,NORM,,0.019,1.92625004053116,1.90000022947788,
RealTime,On,,0.02,1.86875003576279,1.90000022947788,
Vectors,On,,0.021,1.89750003814697,1.86875023320317,
Persistence,Off,,0.022,1.86875003576279,1.90000022947788,
,,,0.023,1.86875003576279,1.83750023692846,
,,,0.024,1.86875003576279,1.86875023320317,
,,,0.025,1.86875003576279,1.83750023692846,
,,,0.026,1.89750003814697,1.86875023320317,
,,,0.027,1.86875003576279,1.86875023320317,
,,,0.028,1.86875003576279,1.83750023692846,
,,,0.029,1.8400000333786,1.83750023692846,
,,,0.03,1.8400000333786,1.80625024065375,
,,,0.031,-1.19209289550781E-07,1.80625024065375,
,,,0.032,0.0287498831748962,1.77500024437904,
,,,0.033,-0.0287501215934753,1.80625024065375,
,,,0.034,0.0287498831748962,1.77500024437904,
,,,0.035,0.0287498831748962,1.80625024065375,
,,,0.036,-0.0287501215934753,1.77500024437904,
,,,0.037,-1.19209289550781E-07,1.77500024437904,
,,,0.038,-1.19209289550781E-07,1.77500024437904,
,,,0.039,-1.19209289550781E-07,1.74375024810433,
,,,0.04,-1.19209289550781E-07,1.74375024810433,
,,,0.041,-0.0287501215934753,1.77500024437904,
,,,0.042,-1.19209289550781E-07,1.74375024810433,
,,,0.043,-0.0287501215934753,1.77500024437904,
,,,0.044,-0.0287501215934753,1.74375024810433,
,,,0.045,-1.19209289550781E-07,1.71250025182962,
,,,0.046,-0.0287501215934753,1.71250025182962,
,,,0.047,-0.0287501215934753,1.74375024810433,
,,,0.048,-1.19209289550781E-07,1.71250025182962,
,,,0.049,-0.0287501215934753,1.71250025182962,
,,,0.05,0.0287498831748962,1.71250025182962,
,,,0.051,-1.19209289550781E-07,1.74375024810433,
,,,0.052,-0.0287501215934753,1.71250025182962,
,,,0.053,-1.19209289550781E-07,1.71250025182962,
,,,0.054,-1.19209289550781E-07,1.68125025555491,
,,,0.055,-0.0287501215934753,1.74375024810433,
,,,0.056,-1.19209289550781E-07,1.68125025555491,
,,,0.057,-1.19209289550781E-07,1.68125025555491,
,,,0.058,-0.0287501215934753,1.6500002592802,
