Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY44002304,,-0.045,-0.0287501215934753,0.368750412017107,
Firmware Version:,06.20.0000,,-0.04,-0.0287501215934753,0.368750412017107,
Start Time:,2020-10-21 21:42:37.022,,-0.035,-0.0287501215934753,0.400000408291817,
,,,-0.03,-1.19209289550781E-07,0.337500415742397,
Analog Sample Count:,1000,,-0.025,-1.19209289550781E-07,0.400000408291817,
Function Sample Count:,0,,-0.02,-0.0287501215934753,0.337500415742397,
Waveform Memory Sample Count:,0,,-0.015,-0.0287501215934753,0.368750412017107,
Digital Sample Count:,0,,-0.01,-1.19209289550781E-07,0.368750412017107,
,,,-0.005,-0.0287501215934753,0.368750412017107,
Setup Text Information:,,,0,2.09875005483627,2.05625021085143,
ANALOG,,,0.005,2.07000005245209,2.08750020712614,
Channel 1,,,0.01,2.07000005245209,2.02500021457672,
Scale,920 mV/,,0.015,2.0412500500679,2.05625021085143,
Pos,1.84 V,,0.02,2.0412500500679,2.05625021085143,
Coup,,,0.025,2.01250004768372,2.05625021085143,
BW,Off,,0.03,2.01250004768372,2.02500021457672,
Inv,Off,,0.035,2.01250004768372,2.02500021457672,
Imp,1M Ohm,,0.04,2.01250004768372,2.02500021457672,
Trace Label,1,,0.045,1.98375004529953,1.99375021830201,
Probe,10,,0.05,1.98375004529953,1.99375021830201,
Skew,0 s,,0.055,2.01250004768372,2.02500021457672,
,,,0.06,1.98375004529953,1.99375021830201,
Channel 4,,,0.065,2.01250004768372,1.99375021830201,
Scale,1 V/,,0.07,1.98375004529953,1.99375021830201,
Pos,3.025 V,,0.075,2.01250004768372,1.99375021830201,
Coup,,,0.08,1.98375004529953,1.99375021830201,
BW,Off,,0.085,1.95500004291534,1.93125022575259,
Inv,Off,,0.09,1.95500004291534,1.99375021830201,
Imp,1M Ohm,,0.095,1.98375004529953,1.9625002220273,
Trace Label,4,,0.1,1.98375004529953,1.99375021830201,
Probe,10,,0.105,1.98375004529953,1.9625002220273,
Skew,0 s,,0.11,1.95500004291534,1.93125022575259,
,,,0.115,1.95500004291534,1.9625002220273,
MATH,,,0.12,1.98375004529953,1.9625002220273,
DIGITAL,,,0.125,1.95500004291534,1.9625002220273,
TRIGGER,,,0.13,1.95500004291534,1.99375021830201,
Sweep Mode,NORM,,0.135,1.98375004529953,2.02500021457672,
Coup,DC,,0.14,2.01250004768372,2.02500021457672,
Noise Rej,Off,,0.145,1.98375004529953,2.02500021457672,
HF Rej,Off,,0.15,1.98375004529953,2.02500021457672,
Holdoff,60.0 ns,,0.155,2.07000005245209,1.99375021830201,
Mode,EDGE,,0.16,2.0412500500679,2.02500021457672,
Source,CHAN1,,0.165,2.0412500500679,2.02500021457672,
Slope,POS,,0.17,2.0412500500679,2.02500021457672,
Level,920 mV V,,0.175,2.0412500500679,2.05625021085143,
,,,0.18,2.07000005245209,2.05625021085143,
HORIZONTAL,,,0.185,2.0412500500679,2.05625021085143,
Mode,MAIN,,0.19,2.0412500500679,2.05625021085143,
Ref,CENT,,0.195,2.07000005245209,2.05625021085143,
