Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY44002304,,-0.045,-0.0287501215934753,0.400000408291817,
Firmware Version:,06.20.0000,,-0.04,-0.0287501215934753,0.368750412017107,
Start Time:,2020-10-21 21:42:23.083,,-0.035,-0.0287501215934753,0.400000408291817,
,,,-0.03,0.0287498831748962,0.400000408291817,
Analog Sample Count:,1000,,-0.025,-1.19209289550781E-07,0.400000408291817,
Function Sample Count:,0,,-0.02,-0.0287501215934753,0.431250404566526,
Waveform Memory Sample Count:,0,,-0.015,-1.19209289550781E-07,0.368750412017107,
Digital Sample Count:,0,,-0.01,0.0287498831748962,0.400000408291817,
,,,-0.005,-1.19209289550781E-07,0.431250404566526,
Setup Text Information:,,,0,2.12750005722046,2.08750020712614,
ANALOG,,,0.005,2.12750005722046,2.11875020340085,
Channel 1,,,0.01,2.15625005960464,2.11875020340085,
Scale,920 mV/,,0.015,2.18500006198883,2.18125019595027,
Pos,1.84 V,,0.02,2.18500006198883,2.21250019222498,
Coup,,,0.025,2.18500006198883,2.18125019595027,
BW,Off,,0.03,2.21375006437302,2.21250019222498,
Inv,Off,,0.035,2.21375006437302,2.21250019222498,
Imp,1M Ohm,,0.04,2.21375006437302,2.24375018849969,
Trace Label,1,,0.045,2.18500006198883,2.24375018849969,
Probe,10,,0.05,2.21375006437302,2.24375018849969,
Skew,0 s,,0.055,2.2425000667572,2.24375018849969,
,,,0.06,2.2425000667572,2.24375018849969,
Channel 4,,,0.065,2.21375006437302,2.21250019222498,
Scale,1 V/,,0.07,2.18500006198883,2.21250019222498,
Pos,3.025 V,,0.075,2.18500006198883,2.21250019222498,
Coup,,,0.08,2.18500006198883,2.18125019595027,
BW,Off,,0.085,2.21375006437302,2.18125019595027,
Inv,Off,,0.09,2.21375006437302,2.18125019595027,
Imp,1M Ohm,,0.095,2.18500006198883,2.18125019595027,
Trace Label,4,,0.1,2.21375006437302,2.21250019222498,
Probe,10,,0.105,2.21375006437302,2.18125019595027,
Skew,0 s,,0.11,2.18500006198883,2.21250019222498,
,,,0.115,2.21375006437302,2.21250019222498,
MATH,,,0.12,2.18500006198883,2.18125019595027,
DIGITAL,,,0.125,2.18500006198883,2.21250019222498,
TRIGGER,,,0.13,2.21375006437302,2.21250019222498,
Sweep Mode,NORM,,0.135,2.18500006198883,2.21250019222498,
Coup,DC,,0.14,2.2425000667572,2.21250019222498,
Noise Rej,Off,,0.145,2.21375006437302,2.24375018849969,
HF Rej,Off,,0.15,2.21375006437302,2.21250019222498,
Holdoff,60.0 ns,,0.155,2.21375006437302,2.21250019222498,
Mode,EDGE,,0.16,2.18500006198883,2.21250019222498,
Source,CHAN1,,0.165,2.18500006198883,2.21250019222498,
Slope,POS,,0.17,2.18500006198883,2.21250019222498,
Level,920 mV V,,0.175,2.18500006198883,2.18125019595027,
,,,0.18,2.21375006437302,2.18125019595027,
HORIZONTAL,,,0.185,2.18500006198883,2.18125019595027,
Mode,MAIN,,0.19,2.18500006198883,2.15000019967556,
Ref,CENT,,0.195,2.18500006198883,2.21250019222498,
Main Scale,500 ms/,,0.2,2.15625005960464,2.18125019595027,
Main Delay,2.455 s,,0.205,2.15625005960464,2.15000019967556,
,,,0.21,2.12750005722046,2.18125019595027,
ACQUISITION,,,0.215,2.15625005960464,2.18125019595027,
Mode,NORM,,0.22,2.18500006198883,2.15000019967556,
RealTime,On,,0.225,2.15625005960464,2.11875020340085,
Vectors,On,,0.23,2.15625005960464,2.18125019595027,
Persistence,Off,,0.235,2.12750005722046,2.18125019595027,
,,,0.24,2.15625005960464,2.11875020340085,
,,,0.245,2.15625005960464,2.18125019595027,
,,,0.25,2.12750005722046,2.15000019967556,
,,,0.255,2.15625005960464,2.11875020340085,
,,,0.26,2.15625005960464,2.15000019967556,
,,,0.265,2.15625005960464,2.15000019967556,
,,,0.27,2.15625005960464,2.11875020340085,
,,,0.275,2.12750005722046,2.15000019967556,
,,,0.28,2.12750005722046,2.11875020340085,
,,,0.285,2.15625005960464,2.18125019595027,
,,,0.29,2.15625005960464,2.15000019967556,
,,,0.295,2.12750005722046,2.15000019967556,
,,,0.3,2.12750005722046,2.15000019967556,
,,,0.305,2.15625005960464,2.11875020340085,
,,,0.31,2.12750005722046,2.11875020340085,
,,,0.315,2.15625005960464,2.11875020340085,
,,,0.32,2.15625005960464,2.15000019967556,
,,,0.325,2.12750005722046,2.15000019967556,
,,,0.33,2.12750005722046,2.11875020340085,
,,,0.335,2.12750005722046,2.08750020712614,
,,,0.34,2.12750005722046,2.15000019967556,
,,,0.345,2.12750005722046,2.15000019967556,
,,,0.35,2.12750005722046,2.11875020340085,
,,,0.355,2.12750005722046,2.08750020712614,
,,,0.36,2.15625005960464,2.11875020340085,
,,,0.365,2.09875005483627,2.15000019967556,
,,,0.37,2.12750005722046,2.15000019967556,
,,,0.375,2.15625005960464,2.15000019967556,
,,,0.38,2.15625005960464,2.18125019595027,
,,,0.385,2.12750005722046,2.11875020340085,
,,,0.39,2.09875005483627,2.15000019967556,
,,,0.395,2.15625005960464,2.18125019595027,
,,,0.4,2.15625005960464,2.18125019595027,
,,,0.405,2.15625005960464,2.15000019967556,
,,,0.41,2.15625005960464,2.15000019967556,
,,,0.415,2.15625005960464,2.18125019595027,
,,,0.42,2.15625005960464,2.15000019967556,
,,,0.425,2.12750005722046,2.15000019967556,
,,,0.43,2.15625005960464,2.11875020340085,
,,,0.435,2.15625005960464,2.15000019967556,
,,,0.44,2.12750005722046,2.15000019967556,
,,,0.445,2.15625005960464,2.11875020340085,
,,,0.45,2.12750005722046,2.18125019595027,
,,,0.455,2.15625005960464,2.11875020340085,
,,,0.46,2.15625005960464,2.18125019595027,
,,,0.465,2.15625005960464,2.18125019595027,
,,,0.47,2.15625005960464,2.15000019967556,
,,,0.475,2.15625005960464,2.18125019595027,
,,,0.48,2.15625005960464,2.15000019967556,
,,,0.485,2.15625005960464,2.11875020340085,
,,,0.49,2.15625005960464,2.18125019595027,
,,,0.495,2.18500006198883,2.18125019595027,
,,,0.5,2.18500006198883,2.18125019595027,
,,,0.505,2.15625005960464,2.15000019967556,
,,,0.51,2.15625005960464,2.18125019595027,
,,,0.515,2.15625005960464,2.18125019595027,
,,,0.52,2.18500006198883,2.15000019967556,
,,,0.525,2.12750005722046,2.11875020340085,
,,,0.53,2.15625005960464,2.15000019967556,
,,,0.535,2.15625005960464,2.15000019967556,
,,,0.54,2.15625005960464,2.18125019595027,
,,,0.545,2.18500006198883,2.18125019595027,
,,,0.55,2.18500006198883,2.11875020340085,
,,,0.555,2.18500006198883,2.18125019595027,
,,,0.56,2.12750005722046,2.15000019967556,
,,,0.565,2.15625005960464,2.15000019967556,
